日期,文件名,题目名称,算法类型,错误分类,具体错误,复习状态
2026-07-23,前 K 个高频元素.kt,前 K 个高频元素,堆,语法-拼写,"PorityQueue 拼写错误，应为 PriorityQueue",未复习
2026-07-23,前 K 个高频元素.kt,前 K 个高频元素,堆,逻辑-比较器,"compareBy{it} 按数值排序，应按频率 freqMap[it] 排序",未复习
2026-07-23,前 K 个高频元素.kt,前 K 个高频元素,堆,逻辑-遍历对象,"遍历 nums 而非 freqMap.keys，重复元素多次入堆",未复习
2026-07-23,前 K 个高频元素.kt,前 K 个高频元素,堆,类型-返回,"返回 List<Int>，函数签名要求 IntArray，缺 toIntArray()",未复习
2026-07-23,k个最大元素.kt,k个最大元素,堆,语法-函数引用,"Solution::findKthLargest 未绑定 receiver，调用时需传 Solution 实例",未复习
2026-07-23,合并k个有序链表.kt,合并k个有序链表,堆+链表,语法-lambda,"forEach 用了 Java 语法 (head->{})，Kotlin 应为 { head -> }",未复习
2026-07-23,合并k个有序链表.kt,合并k个有序链表,堆+链表,逻辑-死循环,"peek() 只读不弹出，while 循环永远不结束",未复习
2026-07-23,合并k个有序链表.kt,合并k个有序链表,堆+链表,逻辑-指针,"cur 指针不前进（缺 cur=node），只连接了第一个节点",未复习
2026-07-23,无重复的最长字串.kt,无重复的最长字串,滑动窗口,类型-泛型,"HashMap<String,Int> 键类型错误，s[right] 返回 Char 非 String",未复习
2026-07-23,无重复的最长字串.kt,无重复的最长字串,滑动窗口,逻辑-边界,"preIndex >= right 应为 >= left，窗口收缩条件写反",未复习
2026-07-23,无重复的最长字串.kt,无重复的最长字串,滑动窗口,逻辑-收缩位置,"left = right-1 应为 preIndex+1，应跳过重复字符而非回退到 right-1",未复习
2026-07-23,三数之和.kt,三数之和,双指针,语法-when,"when 缺 {} 包裹分支，Kotlin when 表达式必须用花括号",未复习
2026-07-23,三数之和.kt,三数之和,双指针,逻辑-数据错误,"result.add 存的是索引 i/left/right，应存 nums[i]/nums[left]/nums[right]",未复习
2026-07-23,三数之和.kt,三数之和,双指针,逻辑-去重,"缺 i>0 判断，i=0 时 nums[i-1] 越界，且未跳过重复 i 产生冗余结果",未复习
2026-07-23,四数之和.kt,四数之和,双指针,逻辑-前置条件,"忘记 nums.sort()，双指针必须基于有序数组",未复习
2026-07-23,四数之和.kt,四数之和,双指针,逻辑-越界,"i<size-3 无法防止 nums[i-1] 越界，应为 i>0 判断",未复习
2026-07-23,四数之和.kt,四数之和,双指针,逻辑-数据错误,"同样存索引非值 intArrayOf(i,j,left,right)",未复习
2026-07-23,四数之和.kt,四数之和,双指针,逻辑-参数,"sum == 0 硬编码，四数之和 target 由参数传入",未复习
